DATE,ERI_PREC,ERI_EVAP,ERI_RUNO
1951-04-01,79.3,3.3,246
1951-05-01,67.1,15.6,116.9
1951-06-01,92.2,34.2,65.4
1951-07-01,62.7,79.1,60.1
1951-08-01,43.9,124.4,22.1
1951-09-01,67.8,178.9,20.1
1951-10-01,63.4,156.7,28.7
1951-11-01,109.9,161.2,103.5
1951-12-01,98.9,74.8,140.1
1952-01-01,93.6,29.7,382.1
1952-02-01,51.2,22.4,157.9
1952-03-01,67.6,19,274.4
1952-04-01,72.6,5.8,223
1952-05-01,89.1,29.5,106.7
1952-06-01,38.1,37.5,36.4
1952-07-01,52.9,102.1,24.8
1952-08-01,88.2,121.9,24.4
1952-09-01,80.4,169.5,20.2
1952-10-01,24.3,235,21.6
1952-11-01,62.1,110.3,30
1952-12-01,68.7,77,55.4
1953-01-01,76.3,34.3,95.6
1953-02-01,28.4,35.3,78.4
1953-03-01,75.2,21,177
1953-04-01,66.1,25.2,98.8
1953-05-01,109.4,20.4,124.7
1953-06-01,58.6,36.2,50.1
1953-07-01,61,96.7,30.2
1953-08-01,65.4,117.7,25.8
1953-09-01,62.8,188.2,19.4
1953-10-01,17.2,152.9,16
1953-11-01,63.6,143.3,20
1953-12-01,66.3,124.2,29.5
1954-01-01,68.7,44.3,65.9
1954-02-01,81,13.9,160.8
1954-03-01,125.6,30.9,234.9
1954-04-01,128.5,7.3,201.3
1954-05-01,30.1,37.4,40.8
1954-06-01,61.9,37.1,26.8
1954-07-01,48.1,90,22.9
1954-08-01,67.7,129.4,32.7
1954-09-01,51.9,143.7,22.5
1954-10-01,217.2,165,222.7
1954-11-01,58.4,138.5,75.5
1954-12-01,62.2,94.1,125.5
1955-01-01,54.6,48,140.4
1955-02-01,61.5,16.3,147.3
1955-03-01,86.4,22.4,345.2
1955-04-01,86.1,1.6,146.7
1955-05-01,50.7,30.8,59.7
1955-06-01,49.1,52.5,30.8
1955-07-01,49.9,84,22.3
1955-08-01,106,139.2,24.9
1955-09-01,54.7,170.5,14.9
1955-10-01,137.2,174.1,24.3
1955-11-01,80.5,168.5,73.6
1955-12-01,38.3,74.9,49.9
1956-01-01,44.8,29.9,22.9
1956-02-01,73.5,16.2,136.1
1956-03-01,94.7,18.8,208.2
1956-04-01,96.5,4.6,131.3
1956-05-01,127.2,14.4,188
1956-06-01,64.9,30.4,53.1
1956-07-01,92.9,64.3,28
1956-08-01,164.7,95.1,48.4
1956-09-01,56.2,155.4,37
1956-10-01,24.5,125.3,17.5
1956-11-01,60.3,155.5,19.9
1956-12-01,64.8,63.4,57.2
1957-01-01,73.1,40.3,76.5
1957-02-01,53.6,12.6,79.8
1957-03-01,36.6,11.4,71.8
1957-04-01,128.3,6,240.4
1957-05-01,82.1,22,70.3
1957-06-01,133,34.7,57.7
1957-07-01,96.8,72,59.4
1957-08-01,59.5,123.8,13
1957-09-01,113.3,126.2,19.7
1957-10-01,64.7,167.5,23.4
1957-11-01,68.9,136,47.2
1957-12-01,85.4,68.7,140.6
1958-01-01,48.4,39.4,45.7
1958-02-01,29,23.6,44.1
1958-03-01,19.4,10.9,87.1
1958-04-01,75,5,70
1958-05-01,52.3,19.9,39.9
1958-06-01,109.4,46.1,55.5
1958-07-01,107.7,48.5,65.2
1958-08-01,100,111,62.8
1958-09-01,107.4,122.7,39.3
1958-10-01,52,163.9,17
1958-11-01,97.7,137.6,58.6
1958-12-01,29.5,80.5,33
1959-01-01,115,20.2,140.9
1959-02-01,75,12.2,190.9
1959-03-01,73.2,14.6,168.5
1959-04-01,98.8,0,151.4
1959-05-01,80,-4.1,84.4
1959-06-01,42.9,29.4,27.6
1959-07-01,77.7,55.7,16.2
1959-08-01,52.9,75.1,12.6
1959-09-01,77,162.6,12.9
1959-10-01,132.2,187.3,46
1959-11-01,81.7,151.9,69.8
1959-12-01,81.6,56.7,114.9
1960-01-01,76.4,39.4,127.9
1960-02-01,62.9,27.7,115
1960-03-01,38.4,19.5,87.4
1960-04-01,70.9,0.6,146.9
1960-05-01,92.6,-3.9,73.6
1960-06-01,96.6,25.1,62.6
1960-07-01,63.9,70.7,21.8
1960-08-01,66.1,94.1,15.4
1960-09-01,42.5,123.1,10.7
1960-10-01,40.2,168.5,10.4
1960-11-01,50,120.2,13.1
1960-12-01,26.9,101.6,10.2
1961-01-01,17.8,22.6,11.4
1961-02-01,79,5.2,71.5
1961-03-01,70.2,13.1,132.4
1961-04-01,164.2,4.2,219.2
1961-05-01,55.6,17.6,66.7
1961-06-01,91.1,29.9,36.2
1961-07-01,90,43.6,19.1
1961-08-01,107.4,97.4,22.2
1961-09-01,69.6,129.4,16.8
1961-10-01,41.7,163.3,12.9
1961-11-01,68.8,145.8,30.5
1961-12-01,54.6,97.7,33.8
1962-01-01,70.6,34.1,74.8
1962-02-01,56.6,6,65.2
1962-03-01,32.1,8.9,166.9
1962-04-01,38.7,5.6,57.1
1962-05-01,38.8,0,25.9
1962-06-01,80.7,21.1,16.8
1962-07-01,71.8,81.6,10.1
1962-08-01,80.8,86.1,10.4
1962-09-01,97.5,151.4,9.7
1962-10-01,70.6,132.5,14.3
1962-11-01,67.5,111.3,33.2
1962-12-01,70,93.2,24.6
1963-01-01,29.6,19.1,20.4
1963-02-01,22.9,8.2,13.4
1963-03-01,72.1,7.8,208.1
1963-04-01,74.9,2.7,66.6
1963-05-01,54.4,0.9,28.9
1963-06-01,41.9,20.2,19.6
1963-07-01,62.7,65.1,11.1
1963-08-01,67.2,111.8,11.5
1963-09-01,36.2,130.5,6.9
1963-10-01,18.8,114.2,6.2
1963-11-01,77.5,147.4,12.1
1963-12-01,48.3,115.4,14.8
1964-01-01,51.7,31.4,35.7
1964-02-01,33.5,25.4,17.3
1964-03-01,106.7,16.7,149.2
1964-04-01,112.5,4.1,155.8
1964-05-01,66.2,25.9,44.3
1964-06-01,53.1,38.5,19.7
1964-07-01,67.8,89,9.9
1964-08-01,148.2,129.8,16.7
1964-09-01,37.6,162.3,8.4
1964-10-01,34.9,168.9,8.2
1964-11-01,34.8,122.8,10.5
1964-12-01,80.8,80.6,33.9
1965-01-01,108.4,47.1,79
1965-02-01,75,22.4,107.2
1965-03-01,73.5,19.4,159.1
1965-04-01,50.3,2.5,132
1965-05-01,60.8,7.5,38
1965-06-01,63.9,41.6,17.8
1965-07-01,62.5,79,9
1965-08-01,94.2,105.2,8.8
1965-09-01,67.1,106.1,9.9
1965-10-01,90.2,178.9,25.9
1965-11-01,71.2,122.3,36.5
1965-12-01,70.7,68.1,76.7
1966-01-01,40.7,56,56.4
1966-02-01,48.3,15,78.5
1966-03-01,66.4,15.2,96.1
1966-04-01,86.9,7.1,70.6
1966-05-01,49.2,29.3,77.8
1966-06-01,76.6,17.4,20.4
1966-07-01,71.8,86.9,32.2
1966-08-01,85.4,106.8,12.3
1966-09-01,71,161.8,8.8
1966-10-01,35.9,171.4,8.8
1966-11-01,131.4,102.2,58.9
1966-12-01,111.9,94.4,181.1
1967-01-01,35.5,41.5,48.5
1967-02-01,40.1,39.4,79.7
1967-03-01,40.8,13.6,162.7
1967-04-01,86.5,2.7,115.2
1967-05-01,81.2,19.2,103.7
1967-06-01,96.3,21.9,29.5
1967-07-01,69.2,65.8,26.6
1967-08-01,72.1,116.2,17.5
1967-09-01,74,147,16.8
1967-10-01,79.4,157.9,34.9
1967-11-01,89.1,137.8,69
1967-12-01,89.2,65.3,147.2
1968-01-01,88.5,33.6,91.6
1968-02-01,24.8,25.8,130.5
1968-03-01,49.3,12.5,122.4
1968-04-01,58.1,2.3,67.9
1968-05-01,104.4,11.6,84.9
1968-06-01,94,29.9,59.4
1968-07-01,76.2,67.6,34.1
1968-08-01,86.3,105.1,26.9
1968-09-01,70.2,120.4,17.7
1968-10-01,66,179.7,19.9
1968-11-01,106.7,144.4,59.2
1968-12-01,98.3,114.5,115.2
1969-01-01,77.2,32,166.7
1969-02-01,13.5,18.3,92.8
1969-03-01,39.8,21.4,67.4
1969-04-01,119,0.1,181.2
1969-05-01,138.9,10.8,134.1
1969-06-01,107.3,28,44.4
1969-07-01,138.1,52.4,86.7
1969-08-01,30.3,106.9,15.5
1969-09-01,66.9,157,12.4
1969-10-01,61,190.3,15.8
1969-11-01,95.7,134.6,63.5
1969-12-01,64.2,97.2,47.1
1970-01-01,42.4,34.2,44.1
1970-02-01,36.8,17,85.4
1970-03-01,53.1,12.4,114.5
1970-04-01,74.6,1.8,141.8
1970-05-01,74.1,0.9,73.3
1970-06-01,82.4,30.9,33.6
1970-07-01,108.1,44.5,27.6
1970-08-01,38.3,104.3,15.3
1970-09-01,115.7,118,21.5
1970-10-01,89.5,140.3,35
1970-11-01,96.3,161.7,67.6
1970-12-01,63,111.5,80.5
1971-01-01,36.1,50.8,34.3
1971-02-01,79.1,14.3,153.2
1971-03-01,41.3,16.8,125.4
1971-04-01,34.9,5.7,68.9
1971-05-01,59.3,6.6,53
1971-06-01,66.4,12.8,33.2
1971-07-01,64.7,84.4,13.8
1971-08-01,63.9,100.2,9.3
1971-09-01,67.5,101.3,12
1971-10-01,50.9,109.5,12.5
1971-11-01,66.7,202.2,17.5
1971-12-01,103,95.1,75.2
1972-01-01,46.9,69.2,60.1
1972-02-01,51.6,25.2,33.9
1972-03-01,91.2,19.5,169.3
1972-04-01,87.5,8.7,172.7
1972-05-01,85.9,2.4,64.4
