DATE,MHG_PREC,MHG_EVAP,MHG_RUNO
1969-05-01,78.2,1.1,99.1
1969-06-01,147.5,2.3,67.1
1969-07-01,75.9,6,62.9
1969-08-01,26.1,30.4,31.1
1969-09-01,58.4,75.7,23.9
1969-10-01,129.3,87.6,40
1969-11-01,66.2,85.9,63.2
1969-12-01,43.5,107.6,50.5
1970-01-01,55.1,73.5,42.9
1970-02-01,22.9,46.2,38.5
1970-03-01,48.5,28.3,54.5
1970-04-01,67.3,9.6,102
1970-05-01,84.9,-1,80.7
1970-06-01,60.6,-1.2,87.2
1970-07-01,113.9,2.4,52.2
1970-08-01,40.2,35.8,33.5
1970-09-01,155.7,60.9,35.8
1970-10-01,76.1,54,52.1
1970-11-01,63.7,100.8,70.6
1970-12-01,69.4,108.1,70.5
1971-01-01,74.3,80.5,46.9
1971-02-01,71.9,32.3,54.7
1971-03-01,54.9,25.8,97.8
1971-04-01,35.6,7.5,147.1
1971-05-01,61.8,-1,87
1971-06-01,66.3,-5,49
1971-07-01,82.5,10,28.2
1971-08-01,74,27.2,24.4
1971-09-01,60.3,39.2,23.4
1971-10-01,43,42.6,30.3
1971-11-01,65.9,104.2,34.4
1971-12-01,112.8,95.4,59.8
1972-01-01,49.3,87.9,50.1
1972-02-01,48,39.7,40.2
1972-03-01,66.8,31.5,70.2
1972-04-01,56.1,13.4,130
1972-05-01,50.4,-2,119
1972-06-01,76.7,-0.6,44.1
