DATE,ONT_PREC,ONT_EVAP,ONT_RUNO
1950-03-01,74.7,54.2,296.1
1950-04-01,55.2,25.4,417.1
1950-05-01,50.9,-1.5,122.3
1950-06-01,62,16.7,79.1
1950-07-01,75.8,38.6,49.4
1950-08-01,98.7,59,39.5
1950-09-01,47.5,86.5,56.6
1950-10-01,88.9,61.3,68.1
1950-11-01,116.2,99,148.9
1950-12-01,59.4,106.3,221
1951-01-01,70.4,84.3,243.5
1951-02-01,76.9,38.7,230.7
1951-03-01,106.2,41.9,360.4
1951-04-01,111.8,7,437
1951-05-01,42.1,1.6,134.9
1951-06-01,93,16,71.9
1951-07-01,103.9,40.7,97
1951-08-01,62.2,71.6,47.2
1951-09-01,70,93.4,50.3
1951-10-01,45.4,68.7,53
1951-11-01,87.3,109.1,127.3
1951-12-01,96.2,108.2,154.2
1952-01-01,63.1,77.3,235.3
1952-02-01,57.9,43.1,196.5
1952-03-01,72.7,38.5,302.7
1952-04-01,67.5,5.2,334.1
1952-05-01,104.8,5,155.6
1952-06-01,27.6,19.1,78.3
1952-07-01,63.9,46.6,55.7
1952-08-01,72.7,69.2,39.5
1952-09-01,73.9,85.8,40.7
1952-10-01,46.7,124.1,56.5
1952-11-01,69.1,66.5,66.3
1952-12-01,66.5,93.9,146.9
1953-01-01,61.9,89.1,133
1953-02-01,34.6,63.9,137.5
1953-03-01,92.2,32.9,262.5
1953-04-01,56.5,18.2,184.1
1953-05-01,130,15,227.8
1953-06-01,44.2,20.6,72
1953-07-01,52.9,60.2,46.6
1953-08-01,67.2,65.9,55.4
1953-09-01,88.7,100.1,45.8
1953-10-01,25.6,66.4,42.5
1953-11-01,50.6,71.3,50.9
1953-12-01,63,113.3,113.5
1954-01-01,60.9,124.1,86.7
1954-02-01,81,37.2,257.1
1954-03-01,91.6,59.1,291.7
1954-04-01,100.7,14.3,380.4
1954-05-01,41.1,12.4,209.8
1954-06-01,68.4,16.3,80.3
1954-07-01,25.8,53.4,41.9
1954-08-01,94.4,78.9,36.1
1954-09-01,81.4,68.8,55.5
1954-10-01,103.5,63.5,102.6
1954-11-01,88.4,75.8,122.5
1954-12-01,93.1,106.5,181.9
1955-01-01,41.2,108.9,162.6
1955-02-01,52.1,38,104.8
1955-03-01,94.6,56.2,423.7
1955-04-01,64.3,1.4,343.5
1955-05-01,69,4.8,87.3
1955-06-01,23.3,24.4,58.9
1955-07-01,50.4,61.3,33.1
1955-08-01,119.9,80.3,33.6
1955-09-01,52.7,92.7,30.5
1955-10-01,212.3,62.7,146.5
1955-11-01,41.6,119.9,177.8
1955-12-01,47.5,130.4,129
1956-01-01,41.1,85.4,83.4
1956-02-01,54.7,44.2,110.6
1956-03-01,78.3,50.7,335.5
1956-04-01,96.2,13.6,481.9
1956-05-01,108.7,4.1,310
1956-06-01,36.1,11.3,123.6
1956-07-01,69.1,40.8,59.1
1956-08-01,114.7,54.9,50.6
1956-09-01,73.5,89.4,82.1
1956-10-01,31.8,58.9,53.9
1956-11-01,56.1,79.9,63.8
1956-12-01,60.6,101.4,157.5
1957-01-01,76.8,98,169.8
1957-02-01,44.3,36.8,138.5
1957-03-01,37.3,33.4,221.9
1957-04-01,75.7,16.8,221.8
1957-05-01,77.3,8.5,147.6
1957-06-01,100.4,11.6,79
1957-07-01,55.8,52.7,69
1957-08-01,27.1,90.8,43.6
1957-09-01,90.4,72.5,43.7
1957-10-01,41.7,74.7,37.6
1957-11-01,59.3,91.4,63.5
1957-12-01,81,90,167.3
1958-01-01,62.4,103,93.9
1958-02-01,79.5,69.8,71.3
1958-03-01,20.3,17.1,251.6
1958-04-01,63,13.4,299.4
1958-05-01,47.4,9.9,141.2
1958-06-01,73.9,34.4,108.6
1958-07-01,75.3,30.1,64.8
1958-08-01,96.6,72.2,51.1
1958-09-01,108.8,67.6,90.9
1958-10-01,64.9,83.7,92
1958-11-01,76.1,91.1,115.7
1958-12-01,51,138.7,112.8
1959-01-01,90.7,85.6,160.4
1959-02-01,67.5,60.4,155.6
1959-03-01,53.4,38.9,292.6
1959-04-01,75.6,5.1,467.7
1959-05-01,59.5,-1.5,125.2
1959-06-01,37.2,-1.5,48.7
1959-07-01,86.2,14.7,48.1
1959-08-01,55.8,43.6,38.1
1959-09-01,61,94.7,37.6
1959-10-01,115.9,90.7,90.1
1959-11-01,74.1,102.1,146
1959-12-01,106.2,89.1,258.7
1960-01-01,68.7,84.3,175.7
1960-02-01,104.8,51.9,213.3
1960-03-01,41.6,57.7,175.7
1960-04-01,76,5.7,561.7
1960-05-01,104.7,-3.8,210.1
1960-06-01,77.4,-1,123.3
1960-07-01,44.5,33,48.8
1960-08-01,66.9,60.5,35.5
1960-09-01,15.8,67.4,28.9
1960-10-01,67.8,92.9,37.2
1960-11-01,49.7,66.9,55.6
1960-12-01,37.6,134.8,46.6
1961-01-01,28.1,92.7,40.9
1961-02-01,73.8,28.3,119
1961-03-01,62.8,27.8,260.1
1961-04-01,103.3,10.4,303.2
1961-05-01,77.6,0.7,193.1
1961-06-01,104.7,3.4,126
1961-07-01,72.7,15.1,69.8
1961-08-01,72.5,61.6,47
1961-09-01,27.1,72.7,39
1961-10-01,41.2,80.4,36.2
1961-11-01,85.9,84.4,68.3
1961-12-01,62.5,109.8,106.3
1962-01-01,75.9,111.4,107.5
1962-02-01,65.7,51,67.8
1962-03-01,22.6,22.7,238.2
1962-04-01,63.2,9.8,294
1962-05-01,59.5,-2.1,105.3
1962-06-01,60.1,-0.2,38.6
1962-07-01,68.5,55.4,32.5
1962-08-01,72.9,47.9,50
1962-09-01,109.7,90.8,41.2
1962-10-01,82.4,65.1,73.2
1962-11-01,52.1,77.2,103.9
1962-12-01,73,118.4,93.6
1963-01-01,51.4,88.1,58.4
1963-02-01,35,50.5,47.8
1963-03-01,59.1,19.8,278.2
1963-04-01,74.9,6.5,346.2
1963-05-01,79.9,0.7,152.7
1963-06-01,19.4,0.8,55.2
1963-07-01,49.1,26.7,33.1
1963-08-01,91.5,69.6,40.3
1963-09-01,32,83.2,31.7
1963-10-01,10.4,53.2,30.6
1963-11-01,128.5,69.4,49.5
1963-12-01,74.2,134.2,93.8
1964-01-01,61.4,78.9,124.7
1964-02-01,31,60.6,81
1964-03-01,80.2,38.8,271.9
1964-04-01,80.4,11.4,249.1
1964-05-01,63.6,0.4,125.1
1964-06-01,35.5,15.4,49.6
1964-07-01,76.8,42.1,34.4
1964-08-01,106.4,80.2,32.9
1964-09-01,20,79.4,26.1
1964-10-01,36.1,83.9,27.2
1964-11-01,54.9,78.3,35.4
1964-12-01,71.9,98.9,82.3
1965-01-01,80.7,114.9,82
1965-02-01,105.2,57.6,167.5
1965-03-01,45.7,44.2,142.5
1965-04-01,65.2,13.3,284
1965-05-01,27.6,-0.5,120.7
1965-06-01,47.6,13.2,40
1965-07-01,66.6,47.5,31.6
1965-08-01,98.3,68.4,30.5
1965-09-01,83.6,54.6,38.3
1965-10-01,93.7,88.1,84.1
1965-11-01,103.6,73.5,147.1
1965-12-01,56.9,65.6,190.8
1966-01-01,79,114.3,139.7
1966-02-01,59.4,41,151.1
1966-03-01,58.6,36.8,317.4
1966-04-01,43.7,14.9,178.1
1966-05-01,38.6,14,120.3
1966-06-01,54.8,7.1,65.5
1966-07-01,37.3,56.3,28.9
1966-08-01,74.7,63.9,32
1966-09-01,90,95.5,37
1966-10-01,27.8,82.8,36.4
1966-11-01,121,62.8,71.2
1966-12-01,84.6,109.3,195.6
1967-01-01,48.7,92.5,133.7
1967-02-01,40.7,82.8,101.1
1967-03-01,24.3,34.3,148.4
1967-04-01,68,15.4,255.1
1967-05-01,75.5,7,160.8
1967-06-01,77.8,7,83.7
1967-07-01,49.8,34.7,89.2
1967-08-01,73.4,65.1,63.2
1967-09-01,110.6,85.3,54.1
1967-10-01,97.7,76.4,137.8
1967-11-01,81.1,107,258.4
1967-12-01,62.6,90.8,196.1
1968-01-01,76.9,84.6,117.6
1968-02-01,39.1,73.4,162.2
1968-03-01,49.9,26.5,263.6
1968-04-01,32.1,7.3,193.8
1968-05-01,101.1,0,115.3
1968-06-01,89.2,10,95.8
1968-07-01,29.7,35.5,72.3
1968-08-01,88.6,62.9,39.5
1968-09-01,92.9,61.3,51.3
1968-10-01,79.1,82.7,60.3
1968-11-01,129.1,92.3,174.8
1968-12-01,81.9,139,213.2
1969-01-01,78.8,94.1,185
