DATE,SUP_EVAP,MHG_EVAP,ERI_EVAP,ONT_EVAP,SUP_PREC,MHG_PREC,ERI_PREC,ONT_PREC,SUP_RUNO,MHG_RUNO,ERI_RUNO,ONT_RUNO,SUP_NBS,MHG_NBS,ERI_NBS,ONT_NBS
1922-03-01,,,,,42.9,59.5,101.3,70.1,14.2,112.8,151,335.2,,,,
1922-04-01,,,,,68.1,91.5,66.5,88.4,79.1,216.1,236.4,512.1,,,,
1922-05-01,,,,,63.2,59.9,63.8,50.8,127.3,116.2,96.7,145.4,,,,
1922-06-01,,,,,89,82.8,66,125.7,39.4,56.8,23.2,166.5,,,,
1922-07-01,,,,,109.1,106.9,74.2,68.3,21.9,47.5,12.9,118.8,,,,
1922-08-01,,,,,48.4,47.5,78.5,63,16.6,30.4,6,68.5,,,,
1922-09-01,,,,,61.4,80.6,63,55.9,19,29.7,13.7,45.2,,,,
1922-10-01,,,,,33.3,60.7,41.9,59.4,9.4,26,5.3,44.7,,,,
1922-11-01,,,,,72.2,65.2,40.9,39.6,12.1,30.2,6.1,49.7,,,,
1922-12-01,,,,,59.3,41.9,62.7,40.9,8.7,31.7,16.5,49.2,,,,
1923-01-01,,,,,51.6,51.7,66,77.7,6.4,31.9,87.4,77.6,,,,
1923-02-01,,,,,37.4,38.4,36.1,32.8,4.7,28.6,49.2,52.5,,,,
1923-03-01,,,,,65.7,80.9,67.6,55.6,6.5,69.9,158.5,236.8,,,,
1923-04-01,,,,,34.7,56.3,59.4,43.9,42.5,150.8,75.3,403.6,,,,
1923-05-01,,,,,34.4,71.1,73.7,79,84,132.7,84.8,214.8,,,,
1923-06-01,,,,,76.8,55.5,63.5,68.3,26.6,60.2,12,111.2,,,,
1923-07-01,,,,,91.7,51.6,65,29,16.8,36.9,10.3,47.3,,,,
1923-08-01,,,,,57.1,79.3,45.7,54.4,14.3,24.4,7.2,33.4,,,,
1923-09-01,,,,,65.7,72.6,77.2,62.7,8.6,27.8,9.1,37.9,,,,
1923-10-01,,,,,83,76.9,47.8,61.2,22.2,25.8,4.7,46.9,,,,
1923-11-01,,,,,28.6,32.8,59.7,88.1,28.6,27.7,11,65.2,,,,
1923-12-01,,,,,42.9,60.3,114.6,74.9,16.8,38.8,155,169.6,,,,
1924-01-01,,,,,66.8,74.5,84.1,86.4,12,40.1,120.9,216,,,,
1924-02-01,,,,,29.3,56,48.3,68.8,9.7,34.7,66.3,85.9,,,,
1924-03-01,,,,,22.9,45.3,51.3,21.6,10.4,68.4,169.5,206.4,,,,
1924-04-01,,,,,60.5,52.8,71.1,75.9,32.6,136.3,91,474.9,,,,
1924-05-01,,,,,42,96.8,68.6,99.8,60.5,129.9,63.7,344.3,,,,
1924-06-01,,,,,51.6,70.6,115.8,61.5,40.1,51,103,96.9,,,,
1924-07-01,,,,,73.4,94.8,67.6,89.4,27.2,40,42.9,58.6,,,,
1924-08-01,,,,,107.7,110.9,56.1,78,20.7,63.5,4.7,62,,,,
1924-09-01,,,,,67.1,65.3,135.4,133.6,22.4,32.1,30.3,64.6,,,,
1924-10-01,,,,,42.8,9.8,10.7,10.2,29.9,31.1,16.6,144.9,,,,
1924-11-01,,,,,52.8,59.2,23.6,33.5,18.5,29.6,4.7,79.4,,,,
1924-12-01,,,,,56.8,72.9,87.4,60.7,16.5,38.7,66.4,116.9,,,,
1925-01-01,,,,,35.5,26.9,34.8,57.4,11,31.1,12.3,53.3,,,,
1925-02-01,,,,,34.9,45.9,62,79.2,11.8,49.7,124.1,302.5,,,,
1925-03-01,,,,,39.3,42.1,72.4,68.1,18.7,83.2,139.7,393.3,,,,
1925-04-01,,,,,31.5,49.4,34.3,41.1,46.6,80.8,16.7,298.8,,,,
1925-05-01,,,,,43.1,29.2,37.3,40.1,65.6,42.9,11.8,152.4,,,,
1925-06-01,,,,,95.4,77.3,53.8,70.1,56.5,43.7,4.2,77.6,,,,
1925-07-01,,,,,63.3,70.5,102.4,89.7,33.8,35.9,10.7,72.5,,,,
1925-08-01,,,,,56,33.3,53.1,61.7,27.7,25,5.9,64.5,,,,
1925-09-01,,,,,88.2,77.3,105.9,132.1,16.3,23.1,19,78.6,,,,
